GEOID,Total population,White,Black,Asian,Hispanic
36061000201,2740,185,91,614,1787
36061000600,10732,664,707,5425,3556
36061001401,3071,2217,169,318,233
36061001402,3133,801,254,1045,875
36061001800,7271,2156,380,3373,958
36061002201,6689,1735,1187,1131,2534
36061002601,4171,1011,442,726,1797
36061002602,3683,2432,231,389,411
36061002800,6483,2107,343,1004,2388
36061003100,2684,1252,297,667,342
36061003200,8000,5943,210,603,868
36061003300,5647,4458,67,511,367
36061003400,6981,4326,270,639,1350
36061003601,2940,898,136,804,962
36061003602,3561,2352,329,486,290
36061003700,3338,2392,32,565,196
36061003900,6830,4061,144,1400,985
36061004001,3004,2343,37,169,271
36061004002,6135,3860,268,983,603
36061004100,7854,3652,62,3699,302
36061004300,3788,2360,24,627,648
36061004500,1189,756,20,252,105
36061005200,3254,2064,151,536,251
36061005400,4851,3314,130,903,386
36061005501,5073,2829,443,1341,236
36061005502,1912,1319,47,319,179
36061005800,4017,2059,320,904,442
36061006300,6456,5328,82,365,337
36061006500,5933,4308,235,773,505
36061006700,5093,4040,185,195,523
36061006800,8293,5026,829,1396,766
36061006900,2450,1994,19,160,201
36061007001,3572,3083,104,194,116
36061007002,4292,2739,388,608,371
36061007100,5384,3919,198,615,566
36061007200,7882,5387,245,1299,407
36061007300,5428,4449,26,275,636
36061007500,3610,2909,99,188,173
36061007600,2258,1040,50,804,288
36061007700,5849,4674,27,184,393
36061007800,9494,5171,127,2047,1545
36061008000,5282,3621,324,761,445
36061008100,7318,5327,254,433,1172
36061008200,3567,1442,188,653,739
36061008300,4073,1257,280,410,1873
36061008400,1466,800,34,500,108
36061008700,6216,4231,427,721,569
36061008900,5844,4004,113,500,1002
36061009100,6656,4740,461,728,561
36061009200,1541,967,19,470,85
36061009300,10198,6346,412,509,2185
36061009400,90,46,0,4,0
36061009500,3151,2269,130,424,285
36061009600,220,121,0,79,15
36061009700,4620,2470,350,633,1033
36061009800,7426,5326,79,1250,618
36061009902,3210,1528,320,667,635
36061009903,744,243,99,148,203
36061010000,1747,923,47,315,344
36061010100,1683,658,218,491,287
36061010200,214,174,8,7,8
36061010300,2565,1368,186,661,165
36061010400,830,576,13,158,54
36061010801,3035,2392,61,360,96
36061010802,4432,3775,0,404,175
36061010803,1335,1175,2,20,120
36061010900,251,151,36,33,22
36061011100,4540,2342,196,1234,594
36061011201,919,700,15,181,17
36061011202,491,390,0,62,22
36061011203,1206,926,79,137,28
36061011300,107,20,54,23,4
36061011401,1217,930,7,165,69
36061011402,2239,1698,10,191,155
36061011800,9567,7420,58,1333,595
36061011900,1152,322,528,21,281
36061012000,3013,2521,139,142,177
36061012101,2899,1804,87,214,501
36061012102,5053,2734,220,288,1595
36061012200,2986,2811,0,67,95
36061012500,2427,1122,201,605,271
36061012601,7106,6169,0,458,331
36061012602,4847,4439,2,208,7
36061012700,7298,4193,226,806,1443
